,t-5,t-4,t-3,t-2,t-1,target
451,44.74,49.71,44.12,45.98,39.77,42.87
452,49.71,44.12,45.98,39.77,42.87,42.87
453,44.12,45.98,39.77,42.87,42.87,44.74
454,45.98,39.77,42.87,42.87,44.74,44.12
455,39.77,42.87,42.87,44.74,44.12,41.01
456,42.87,42.87,44.74,44.12,41.01,47.22
457,42.87,44.74,44.12,41.01,47.22,41.01
458,44.74,44.12,41.01,47.22,41.01,37.28
459,44.12,41.01,47.22,41.01,37.28,29.2
460,41.01,47.22,41.01,37.28,29.2,24.85
461,47.22,41.01,37.28,29.2,24.85,24.23
462,41.01,37.28,29.2,24.85,24.23,22.99
463,37.28,29.2,24.85,24.23,22.99,24.85
464,29.2,24.85,24.23,22.99,24.85,26.1
465,24.85,24.23,22.99,24.85,26.1,26.1
466,24.23,22.99,24.85,26.1,26.1,26.72
467,22.99,24.85,26.1,26.1,26.72,27.96
468,24.85,26.1,26.1,26.72,27.96,27.96
469,26.1,26.1,26.72,27.96,27.96,26.72
470,26.1,26.72,27.96,27.96,26.72,26.1
471,26.72,27.96,27.96,26.72,26.1,26.72
472,27.96,27.96,26.72,26.1,26.72,24.85
473,27.96,26.72,26.1,26.72,24.85,24.23
474,26.72,26.1,26.72,24.85,24.23,22.99
475,26.1,26.72,24.85,24.23,22.99,24.85
476,26.72,24.85,24.23,22.99,24.85,24.23
477,24.85,24.23,22.99,24.85,24.23,24.23
478,24.23,22.99,24.85,24.23,24.23,29.2
479,22.99,24.85,24.23,24.23,29.2,27.96
480,24.85,24.23,24.23,29.2,27.96,26.1
481,24.23,24.23,29.2,27.96,26.1,26.72
482,24.23,29.2,27.96,26.1,26.72,29.2
483,29.2,27.96,26.1,26.72,29.2,29.2
484,27.96,26.1,26.72,29.2,29.2,27.96
485,26.1,26.72,29.2,29.2,27.96,26.72
486,26.72,29.2,29.2,27.96,26.72,26.72
487,29.2,29.2,27.96,26.72,26.72,26.72
488,29.2,27.96,26.72,26.72,26.72,26.1
489,27.96,26.72,26.72,26.72,26.1,26.72
490,26.72,26.72,26.72,26.1,26.72,26.72
491,26.72,26.72,26.1,26.72,26.72,26.72
492,26.72,26.1,26.72,26.72,26.72,29.83
493,26.1,26.72,26.72,26.72,29.83,29.83
494,26.72,26.72,26.72,29.83,29.83,29.2
495,26.72,26.72,29.83,29.83,29.2,26.1
496,26.72,29.83,29.83,29.2,26.1,24.85
497,29.83,29.83,29.2,26.1,24.85,29.2
498,29.83,29.2,26.1,24.85,29.2,29.83
499,29.2,26.1,24.85,29.2,29.83,24.85
500,26.1,24.85,29.2,29.83,24.85,22.99
501,24.85,29.2,29.83,24.85,22.99,24.85
502,29.2,29.83,24.85,22.99,24.85,24.85
503,29.83,24.85,22.99,24.85,24.85,24.23
504,24.85,22.99,24.85,24.85,24.23,24.85
505,22.99,24.85,24.85,24.23,24.85,26.1
506,24.85,24.85,24.23,24.85,26.1,29.2
507,24.85,24.23,24.85,26.1,29.2,27.96
508,24.23,24.85,26.1,29.2,27.96,26.72
509,24.85,26.1,29.2,27.96,26.72,26.1
510,26.1,29.2,27.96,26.72,26.1,24.85
511,29.2,27.96,26.72,26.1,24.85,24.23
512,27.96,26.72,26.1,24.85,24.23,24.23
513,26.72,26.1,24.85,24.23,24.23,22.99
514,26.1,24.85,24.23,24.23,22.99,24.85
515,24.85,24.23,24.23,22.99,24.85,27.96
516,24.23,24.23,22.99,24.85,27.96,26.72
517,24.23,22.99,24.85,27.96,26.72,31.07
518,22.99,24.85,27.96,26.72,31.07,37.28
519,24.85,27.96,26.72,31.07,37.28,42.87
520,27.96,26.72,31.07,37.28,42.87,45.98
521,26.72,31.07,37.28,42.87,45.98,44.74
522,31.07,37.28,42.87,45.98,44.74,47.85
523,37.28,42.87,45.98,44.74,47.85,47.22
524,42.87,45.98,44.74,47.85,47.22,52.82
525,45.98,44.74,47.85,47.22,52.82,49.71
526,44.74,47.85,47.22,52.82,49.71,52.2
527,47.85,47.22,52.82,49.71,52.2,49.09
528,47.22,52.82,49.71,52.2,49.09,45.98
529,52.82,49.71,52.2,49.09,45.98,49.09
530,49.71,52.2,49.09,45.98,49.09,50.95
531,52.2,49.09,45.98,49.09,50.95,50.95
532,49.09,45.98,49.09,50.95,50.95,52.82
